"","Grid","effort_start","effort_end","hours","effort_hours","effort_secs"
"63","S125",2016-12-25 10:43:18,2017-01-29 18:23:53,847.676388888889,847.676388888889,3051635
"64","S126",2016-12-25 12:24:55,2017-01-29 16:45:29,844.342777777778,844.342777777778,3039634
"65","S127",2016-12-25 16:02:24,2017-01-30 18:06:10,866.062777777778,866.062777777778,3117826
"66","S128",2016-12-25 17:19:06,2017-01-30 17:52:43,864.560277777778,864.560277777778,3112417
"67","S130",2016-12-24 10:40:40,2017-01-03 15:20:45,244.668055555556,244.668055555556,880805
"68","S131",2016-12-26 11:32:22,2017-01-30 17:35:02,846.044444444444,846.044444444444,3045760
"69","S132",2016-12-23 12:33:26,2017-01-29 16:21:10,891.795555555556,891.795555555556,3210464
"70","S133",2016-12-23 17:32:27,2017-01-29 16:40:30,887.134166666667,887.134166666667,3193683
"71","S134",2016-12-24 10:40:40,2017-01-29 17:23:34,870.715,870.715,3134574
"72","S135",2016-12-24 18:10:56,2017-01-29 17:38:18,863.456111111111,863.456111111111,3108442
"73","S136",2016-12-24 19:01:18,2017-01-29 18:06:36,863.088333333333,863.088333333333,3107118
"74","S137",2016-12-24 12:58:31,2017-01-30 15:57:37,890.985,890.985,3207546
"75","S138",2016-12-24 14:36:10,2017-01-30 16:19:49,889.7275,889.7275,3203019
"76","S138_1",2016-12-24 13:48:57,2017-01-05 23:04:19,297.256111111111,297.256111111111,1070122
"77","S140",2016-12-26 17:00:58,2017-01-30 16:51:09,839.836388888889,839.836388888889,3023411
"78","S141",2016-12-26 18:11:16,2017-01-30 17:01:01,838.829166666667,838.829166666667,3019785
"79","S142",2016-12-26 13:14:57,2016-12-29 17:00:00,75.7508333333333,842.947222222222,3034610
"80","S142",2016-12-29 18:00:00,2017-01-30 17:11:47,767.196388888889,842.947222222222,3034610
"81","S59",2016-12-25 11:29:57,2017-01-06 06:04:00,282.5675,861.050555555556,3099782
"82","S59",2017-01-06 07:04:00,2017-01-30 09:32:59,578.483055555556,861.050555555556,3099782
"83","S64",2016-12-24 12:43:46,2017-01-30 09:14:31,884.5125,884.5125,3184245
"84","S65",2016-12-24 13:35:40,2017-01-30 11:02:25,885.445833333333,885.445833333333,3187605
"85","S66",2016-12-18 10:40:03,2017-01-30 10:44:38,1032.07638888889,1032.07638888889,3715475
"86","S74",2016-12-22 11:59:58,2017-01-29 13:39:45,913.663055555556,913.663055555556,3289187
"87","S75",2016-12-22 13:16:03,2017-01-29 13:59:09,912.718333333333,912.718333333333,3285786
"88","S76",2016-12-22 17:50:04,2017-01-30 11:29:06,929.650555555556,929.650555555556,3346742
"89","S77",2016-12-24 11:18:55,2017-01-30 11:41:42,888.379722222222,888.379722222222,3198167
"90","S78",2016-12-29 12:48:48,2017-02-01 18:39:31,821.845277777778,821.845277777778,2958643
"91","S79",2016-12-26 11:50:22,2016-12-29 07:47:00,67.9438888888889,111.285833333333,400629
"92","S79",2016-12-29 08:47:00,2016-12-31 04:07:31,43.3419444444444,111.285833333333,400629
